image_001.png: x=-0.04018853, y=0.08054738, z=0.51265501, rx=0.07210757, ry=0.19028666, rz=-1.69686450
image_002.png: x=0.00620339, y=0.13439288, z=0.52623116, rx=-0.06229923, ry=0.19926780, rz=-2.02756126
image_003.png: x=-0.10663545, y=0.12745784, z=0.53293949, rx=0.26792145, ry=0.15603472, rz=-2.51983501
image_004.png: x=-0.01493445, y=0.16425063, z=0.55055670, rx=0.08415116, ry=0.17422889, rz=-2.91219425
image_005.png: x=0.10815672, y=0.16115057, z=0.54784554, rx=0.18548395, ry=-0.17328759, rz=2.90079504
image_006.png: x=0.24847891, y=0.06603706, z=0.49180464, rx=0.48263813, ry=-0.12783394, rz=2.20064295
image_007.png: x=-0.12668984, y=0.01721000, z=0.48001879, rx=0.20566483, ry=-0.11587271, rz=-0.79212192
image_008.png: x=-0.14799767, y=-0.08766076, z=0.42881406, rx=0.33857187, ry=-0.29900267, rz=-0.18800023
image_009.png: x=-0.02180819, y=-0.09655627, z=0.42174164, rx=0.33307393, ry=-0.11392295, rz=0.17058058
image_010.png: x=-0.13786917, y=-0.00290313, z=0.36702102, rx=0.42939670, ry=-0.09319930, rz=-0.61971488
image_011.png: x=-0.10804222, y=0.06817992, z=0.40086240, rx=0.33726635, ry=0.00893687, rz=-1.08534736
image_012.png: x=-0.11306200, y=0.11011581, z=0.44165915, rx=0.16292414, ry=-0.05314076, rz=-1.72496529
image_013.png: x=-0.12220247, y=0.06822344, z=0.36603122, rx=0.08016506, ry=0.13631165, rz=-1.37694369
image_014.png: x=-0.11199510, y=0.06668528, z=0.40003660, rx=-0.04259962, ry=0.26267368, rz=-1.52498826
image_015.png: x=-0.09130532, y=0.17060690, z=0.45723095, rx=-0.18636529, ry=0.45033183, rz=-2.23126012
image_016.png: x=0.01524020, y=0.17758770, z=0.47960666, rx=-0.30052329, ry=0.70810093, rz=-2.66543136
image_017.png: x=0.01525066, y=0.17740081, z=0.47981341, rx=-0.29846994, ry=0.70963351, rz=-2.66542342
image_018.png: x=0.09399145, y=0.13743497, z=0.46661103, rx=0.35683925, ry=-0.66711477, rz=2.67155024
image_019.png: x=0.09441912, y=0.06502156, z=0.42804126, rx=0.40910790, ry=-0.55455138, rz=2.03713586
image_020.png: x=0.09619982, y=-0.04493264, z=0.26646663, rx=0.68847619, ry=-0.42217204, rz=1.06620595
image_021.png: x=-0.13258601, y=0.07375809, z=0.31204900, rx=0.62002165, ry=-0.63045246, rz=-1.17591706
image_022.png: x=-0.15749432, y=-0.04154236, z=0.31825801, rx=0.60840346, ry=-0.35204580, rz=-0.28107032
image_023.png: x=-0.09058952, y=0.14207786, z=0.42030136, rx=0.32787973, ry=0.36846946, rz=-1.80865907
image_024.png: x=-0.10152171, y=0.19229142, z=0.53846501, rx=-0.42902522, ry=-0.28003092, rz=-1.83717075
